date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-01-03,13216822,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2023-01-09,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,13221166,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-20,13214565,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-02-20,13221159,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-02-21,13214565,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-02-21,13221159,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-02-22,13214565,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-02-22,13221159,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-02-23,13214565,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-02-23,13221159,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-02-24,13214565,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-02-24,13221159,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-03-10,13216802,4380395,1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2023-03-13,13221181,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-14,13221181,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-04-06,13221153,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-04-21,13216802,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2023-04-28,13221164,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
